Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 16; no_of_solutions: 1; total_time(ms): 0,159; first_solution_time(ms): 0,142; no_of_recursive_calls: 256, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 17; no_of_solutions: 1; total_time(ms): 38,757; first_solution_time(ms): 37,982; no_of_recursive_calls: 334805, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 18; no_of_solutions: 1; total_time(ms): 361,410; first_solution_time(ms): 360,499; no_of_recursive_calls: 3140868, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 19; no_of_solutions: 1; total_time(ms): 1660,842; first_solution_time(ms): 1659,869; no_of_recursive_calls: 13927102, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 1; no_of_solutions: 1; total_time(ms): 0,017; first_solution_time(ms): 0,011; no_of_recursive_calls: 1, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 2; no_of_solutions: 2; total_time(ms): 0,021; first_solution_time(ms): 0,013; no_of_recursive_calls: 14, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 3; no_of_solutions: 12; total_time(ms): 0,068; first_solution_time(ms): 0,017; no_of_recursive_calls: 246, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 4; no_of_solutions: 576; total_time(ms): 2,559; first_solution_time(ms): 0,022; no_of_recursive_calls: 20420, heuristics=[]
Problem: LATIN_SQUARE; method: BACKTRACKING; size: 5; no_of_solutions: 161280; total_time(ms): 212,097; first_solution_time(ms): 0,043; no_of_recursive_calls: 10764430, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 1; no_of_solutions: 1; total_time(ms): 0,015; first_solution_time(ms): 0,009; no_of_recursive_calls: 1, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 2; no_of_solutions: 2; total_time(ms): 0,019; first_solution_time(ms): 0,011; no_of_recursive_calls: 8, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 3; no_of_solutions: 12; total_time(ms): 0,038; first_solution_time(ms): 0,011; no_of_recursive_calls: 93, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 4; no_of_solutions: 576; total_time(ms): 1,022; first_solution_time(ms): 0,012; no_of_recursive_calls: 5680, heuristics=[]
Problem: LATIN_SQUARE; method: FORWARDCHECKING; size: 5; no_of_solutions: 161280; total_time(ms): 135,780; first_solution_time(ms): 0,019; no_of_recursive_calls: 2314165, heuristics=[]
